"SubID","Gender","Age","Grade","SES","TeacherID","t0Know","t0TchExp","PIS","time","Rapport","STRS"
84,1,,5,2,7,,,5.75,1,,
1,2,9,4,2,5,-0.23135,2.857143,2.875,2,3.75,76
2,1,11,6,2,12,-0.003201,3.142857,7.25,2,3.85,120
3,2,10,6,2,13,0.356242,3.142857,4.125,2,3.65,108
4,1,10,5,2,8,1.751254,2.857143,2.875,2,3.05,123
5,2,11,6,2,15,-0.933597,3.571429,6.5,2,2.45,122
6,1,9,4,2,5,-0.987546,3.142857,2.875,2,3.6,123
7,2,9,4,2,3,-0.933597,3.142857,3,2,3.5,117
8,1,10,5,2,9,-0.18572,4,6.5,2,3.35,117
9,2,10,5,2,6,-0.1774,2.857143,2.625,2,3.8,98
10,1,11,6,2,12,0.652076,3.571429,7.25,2,3.9,136
11,1,9,5,2,8,1.386216,4,2.875,2,3.5,128
12,2,10,5,2,7,-0.445584,3.428571,5.75,2,2.3,107
13,2,10,5,2,8,2.298811,3.428571,2.875,2,2.05,118
14,2,8,4,2,3,-0.536843,3.571429,3,2,3.7,110
15,2,9,5,2,8,0.264982,2.714286,2.875,2,3.6,124
16,1,10,5,2,9,0.173723,3.571429,6.5,2,3.9,127
17,1,10,5,2,9,0.63002,3.428571,6.5,2,3.95,125
18,2,11,6,2,15,-0.048831,2.428571,6.5,2,2.7,132
19,,,,,,,,,2,,
20,1,9,4,2,4,-0.536843,4,8.875,2,3.8,125
21,1,11,6,2,16,-0.437264,3.857143,6,2,2.65,131
22,1,10,5,2,11,1.796884,3.285714,6.75,2,3.5,121
23,1,9,5,2,10,-0.18572,3.285714,4.375,2,3.5,123
24,2,11,6,2,12,0.264982,3.142857,7.25,2,2.65,80
25,1,9,4,2,1,-0.933597,3.285714,,2,2.75,95
26,1,9,4,2,1,0.356242,3.142857,,2,3.5,121
27,2,9,4,2,1,-1.20178,3.714286,,2,3.4,91
28,2,9,4,2,2,-0.636422,2.714286,9,2,1.4,114
29,2,10,5,2,6,-0.14009,2.857143,2.625,2,3,95
30,1,11,6,2,16,-0.933597,3.142857,6,2,3.65,117
31,1,11,6,2,12,0.995058,3.571429,7.25,2,3.65,138
32,2,9,4,2,2,-0.933597,2.714286,9,2,3,120
33,2,8,4,2,5,-0.528524,3.142857,2.875,2,2.85,63
34,1,10,5,2,6,-0.933597,3.142857,2.625,2,3.15,119
35,2,11,6,2,15,0.401872,3,6.5,2,3.05,128
36,2,10,5,2,9,0.401872,3.285714,6.5,2,2.7,111
37,1,10,5,2,11,0.981144,4,6.75,2,3,98
38,1,9,5,2,9,-0.18572,3.142857,6.5,2,3.6,124
39,1,11,6,2,12,-1.15615,3.571429,7.25,2,4,139
40,1,9,5,2,11,1.203697,3.571429,6.75,2,3.55,126
41,1,10,5,2,11,0.72128,3.285714,6.75,2,3.75,125
42,2,9,5,2,10,0.264982,3,4.375,2,1.95,113
43,1,9,4,2,1,-0.636422,3.571429,,2,3.75,106
44,2,9,5,2,9,0.401872,2.857143,6.5,2,2.7,118
45,1,10,5,2,8,0.173723,3.428571,2.875,2,3.45,138
46,2,10,5,2,11,1.998912,2.285714,6.75,2,3.35,115
47,1,9,4,2,5,-0.1774,3.857143,2.875,2,3.8,101
48,1,10,5,1,9,-0.582473,3.285714,6.5,2,3.45,114
49,1,9,4,2,5,0.227672,3.714286,2.875,2,3.7,119
50,2,11,6,2,14,-0.491214,3.714286,5,2,2.8,108
51,2,10,5,1,9,-0.18572,2.714286,6.5,2,1.25,110
52,2,10,6,2,14,-0.391635,2.142857,5,2,,104
53,2,9,4,2,5,-0.987546,3,2.875,2,3.1,158
54,1,10,5,2,8,-0.086141,3.857143,2.875,2,2.8,116
55,1,10,5,2,8,1.086317,3.571429,2.875,2,3.1,100
56,1,9,4,2,2,-0.482894,3.142857,9,2,4,132
57,1,10,5,2,6,0.173723,3.571429,2.625,2,3.2,126
58,1,10,5,2,10,0.995058,3,4.375,2,3.4,131
59,1,11,6,2,15,1.49139,3,6.5,2,3.95,132
60,1,10,5,2,10,1.021179,3.428571,4.375,2,3.85,122
61,2,11,5,2,8,0.707365,2.714286,2.875,2,3.05,121
62,,,,1,,,,,2,,
63,1,11,6,2,14,-0.300375,2.142857,5,2,2.65,103
64,1,10,5,2,9,-0.536843,3.571429,6.5,2,3.6,128
65,1,11,6,2,12,-1.338669,3,7.25,2,3.7,127
66,1,10,5,2,11,0.224947,4,6.75,2,3.7,129
67,1,11,6,2,,-0.636422,3.142857,,2,,
68,2,10,5,2,10,0.453096,3.571429,4.375,2,3.7,111
69,1,11,6,2,15,0.278897,2.714286,6.5,2,,121
70,2,10,5,2,6,-0.23135,2.428571,2.625,2,1.6,99
71,1,10,5,2,7,-0.094461,3.714286,5.75,2,3.2,117
72,2,10,5,2,6,-0.23135,3,2.625,2,2.35,94
73,2,10,5,2,11,0.264982,2.857143,6.75,2,3.55,113
74,2,9,4,2,4,0.264982,2.857143,8.875,2,2.05,110
75,1,9,4,2,5,-0.1774,3.428571,2.875,2,3.8,127
76,2,11,6,1,14,-0.842337,3.428571,5,2,2.7,110
77,2,11,6,1,13,-0.536843,3.571429,4.125,2,2.65,110
78,1,10,5,2,6,-0.18572,3.142857,2.625,2,3.6,131
79,1,11,6,2,12,-0.437264,3.428571,7.25,2,3.6,137
80,2,9,4,2,4,-0.933597,2.857143,8.875,2,3.75,105
81,2,9,4,2,3,-0.933597,3.428571,3,2,3.8,120
82,2,10,5,2,9,0.219353,4,6.5,2,2.5,106
83,1,10,5,2,7,-0.003201,3.428571,5.75,2,2.8,111
84,1,,5,2,7,,,5.75,2,3,
1,2,9,4,2,5,-0.23135,2.857143,2.875,3,3.6,66
2,1,11,6,2,12,-0.003201,3.142857,7.25,3,3.8,112
3,2,10,6,2,13,0.356242,3.142857,4.125,3,3.05,124
4,1,10,5,2,8,1.751254,2.857143,2.875,3,3.05,128
5,2,11,6,2,15,-0.933597,3.571429,6.5,3,1.75,127
6,1,9,4,2,5,-0.987546,3.142857,2.875,3,3.25,117
7,2,9,4,2,3,-0.933597,3.142857,3,3,3.5,122
8,1,10,5,2,9,-0.18572,4,6.5,3,3,122
9,2,10,5,2,6,-0.1774,2.857143,2.625,3,3.25,81
