"","College2000","College1990","College1980","Jobs1990","Jobs1980","Jobs2000","College1970","College1960","LandArea","LFP1960","LFP1970","LFP1980","LFP1990","LFP2000","Mobil1960","Mobil1970","Mobil1980","Mobil1990","Mobil2000","Pop1960","Pop1970","Pop1980","Pop1990","Pop2000","NatAmenity","Jobs1960","Jobs1970","ContigJobsK1960","ContigJobsK1970","ContigJobsK1980","ContigJobsK1990","ContigJobsK2000","Mobil1950","College1950","Pop1950","LFP1950"
"44",0.188,0.18,0.181,9234,8289,8829,0.147131,0.106267,616,0.763,0.428157,0.451,0.519,0.497,0.428,0.429,0.353,0.41,0.408,26717,24841,26829,24928,24105,3,9090,8275,24.75267,26.88033,33.92083,40.90517,48.47783,0.193457,0.070521,30561,0.459917
"45",0.343,0.301,0.214,165616,108486,195409,0.187575,0.110269,803,0.564,0.622395,0.645,0.699,0.676,0.684,0.568,0.484,0.525,0.496,117348,186540,196966,238912,276700,3,53142,93073,17.16198,21.01775,28.7075,35.991,41.3305,0.282847,0.030183,72903,0.480323
"46",0.121,0.115,0.088,9526,8850,10908,0.070067,0.040193,978,0.498,0.50594,0.509,0.561,0.524,0.44,0.346,0.315,0.339,0.316,27098,23819,25047,23084,22539,3,9477,8605,8.52306,7.82313,8.1085,8.13375,8.24238,0.153367,0.029525,29494,0.532145
"47",0.08,0.067,0.061,13598,13153,16071,0.035484,0.028193,743,0.461,0.531635,0.581,0.578,0.561,0.498,0.416,0.381,0.386,0.381,21837,23788,30041,29830,31214,3,8298,10450,7.32669,8.8188,11.542,13.174,14.5826,0.246763,0.01785,27264,0.441098
"48",0.139,0.115,0.086,40506,29237,44934,0.052121,0.045537,571,0.507,0.536345,0.573,0.613,0.606,0.561,0.432,0.437,0.444,0.438,48018,54211,65622,70832,82231,4,20525,20423,22.68462,31.39129,38.66571,50.79314,60.93029,0.277048,0.018585,45090,0.50441
"49",0.186,0.155,0.124,183040,168302,219419,0.075113,0.056977,1240,0.555,0.543806,0.586,0.607,0.594,0.535,0.471,0.443,0.431,0.419,314301,317308,364980,378643,399843,4,121247,121224,9.40989,11.41067,14.90833,19.76233,30.11233,0.222722,0.036477,231105,0.560122
"50",0.118,0.108,0.087,12853,9894,12363,0.056987,0.04031,1032,0.503,0.529581,0.541,0.587,0.55,0.335,0.36,0.347,0.362,0.31,22372,20883,22651,23968,24324,4,8178,8111,10.6213,10.19433,12.16683,14.60433,20.46883,0.165942,0.022775,25732,0.536944
"51",0.285,0.242,0.2,141984,116008,167335,0.126999,0.098775,790,0.579,0.594052,0.617,0.652,0.613,0.561,0.531,0.482,0.497,0.481,169210,167790,197038,209085,223510,3,84780,90762,6.70654,6.74943,8.13043,9.02929,10.89729,0.271722,0.066469,138965,0.563322
"52",0.184,0.151,0.118,54133,42702,63872,0.083762,0.06728,570,0.506,0.557155,0.609,0.637,0.622,0.563,0.516,0.443,0.477,0.432,60454,77306,90231,100043,111064,4,24637,34152,18.4638,27.19217,33.17867,47.87233,56.151,0.245589,0.031086,52924,0.48948
"53",0.1,0.115,0.097,4425,4535,4086,0.070838,0.069474,734,0.489,0.47687,0.479,0.498,0.466,0.388,0.43,0.282,0.326,0.35,17358,15388,15012,12759,11861,4,5785,5195,10.09926,9.6094,9.835,10.326,11.551,0.174364,0.046111,20439,0.516693
