Ben INC 5000 CSV Export (8-26-2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,rank,workers,name,url,state_l,state_s,city,metro,growth,revenue,industry,yrs_on_list,ifc_company,ifc_filelocation,ifc_founded,ifc_business_model,ifc_url,ifc_city,ifc_state,ifc_twitter_handle,state_rank,metro_rank,industry_rank,current_industry_rank,ifi_industry,app_employ_lastyear,app_employ_fouryearsago,app_revenues_lastyear,app_revenues_fouryearsago,city_display_name,industry_id,metro_id,,
24632,17,436,American Solar Direct,american-solar-direct,California,CA,Los Angeles,Los Angeles,11560.3538,52086567,Energy,0,American Solar Direct,american-solar-direct,2009-00-00,"A solar provider offering design, permitting, installation, and project management services to California homeowners.",http://www.AmericanSolarDirect.com,Los Angeles,CA,AmerSolarDirect,5,3,3,17,Energy,436,25,52086567,446698,Los Angeles,16,2,,
26246,18,42,Prescient Edge,prescient-edge,Virginia,VA,McLean,"Washington, DC",11497.7718,12315210,Government Services,0,Prescient Edge,prescient-edge,1/1/10,"A global operations integrator delivering full spectrum intelligence, technology, and security offerings to corporate, federal, and international clients.",http://www.PrescientEdge.com,McLean,VA,PrescientEdge,2,2,1,18,Government Services,42,3,12315210,106186,"Washington, DC",7,3,,
22962,19,27,BlueSquare Resolutions,bluesquare-resolutions,Arizona,AZ,Scottsdale,Phoenix,11488.6004,46400872,Financial Services,1,BlueSquare Resolutions,bluesquare-resolutions,2009-00-00,Provides secure payment processing to merchants.,http://www.getbluesquare.com,Scottsdale,AZ,getbluesquare,2,2,1,19,Financial Services,27,6,46400872,400401,Phoenix,2,46,,
25398,20,44,BES Design/Build,bes-designbuild,Alabama,AL,Fairhope,"Daphne-Fairhope-Foley, AL",11374.9136,11819161,Engineering,0,BES Design/Build,bes-designbuild,1/1/08,"Provides mechanical, electrical, civil, and structural engineering; architecture; and construction services, specializing in government contracting.",http://www.BES-Design-Build.com,Fairhope,AL,,1,0,1,20,Engineering,44,4,11819161,103000,,24,589,,
25290,21,12,Simpler Trading,simpler-trading,Texas,TX,Austin,Austin,10522.6415,11260000,Financial Services,0,Simpler Trading,simpler-trading,1/1/10,"Operates membership-based websites that teach users how to trade stocks and options and invest in real estate and provides financial data, information, and tools to do so.",http://www.SimplerTrading.com,Austin,TX,,1,1,2,21,Financial Services,12,2,11260000,106000,Austin,2,18,,
24803,22,790,sweetFrog Premium Frozen Yogurt,sweetfrog-premium-frozen-yogurt,Virginia,VA,RIchmond,"Richmond, VA",10371.7994,34382478,Food & Beverage,0,sweetFrog Premium Frozen Yogurt,sweetfrog-premium-frozen-yogurt,1/1/09,A chain of 320 stores in 25 states where customers can create their own combinations of yogurt flavors and toppings.,http://www.sweetFrogYogurt.com,RIchmond,VA,sweetFrog,3,0,3,22,Food & Beverage,790,8,34382478,328334,,11,40,,
25925,23,17,Base Commerce,base-commerce,Arizona,AZ,Tempe,Phoenix,10186.259,12479598,Financial Services,0,Base Commerce,base-commerce,1/1/08,Offers a payment processing platform for software and mobile application developers.,http://www.BaseCommerce.com,Tempe,AZ,BaseCommerce,3,3,3,23,Financial Services,17,2,12479598,121323,Phoenix,2,46,,
25323,24,102,CPSG Partners,cpsg-partners,Texas,TX,Dallas,Dallas,9531.6371,17095000,IT Services,0,CPSG Partners,cpsg-partners,1/1/09,"Provides cloud computing, security, and consulting in mobility, customer relationship management, and application development.",http://www.CPSGPartners.com,Dallas,TX,CPSGPartners,2,1,1,24,IT Services,102,15,17095000,177488,Dallas,8,8,,
25679,25,102,MedHOK,medhok,Florida,FL,Tampa,Tampa,9109.1892,17037000,Health,0,MedHOK,medhok,1/1/10,"Provides SaaS that improves clinical outcomes and quality measures and links reimbursement to improved quality outcomes for health plans, accountable care organizations, patient centered medical homes, pharmacy benefit managers, and prescription specialty organizations.",http://www.MedHOK.com,Tampa,FL,MedHOK360,3,1,6,25,Health,102,10,17037000,185000,Tampa,10,7,,
25524,26,90,Showroom Logic,showroom-logic,Florida,FL,Miami,Miami,8448.5785,13443409,Advertising & Marketing,0,Showroom Logic,showroom-logic,1/1/09,"Offers proprietary, automated software tools and custom advertising programs to facilitate automotive dealers' Internet marketing.",http://www.ShowroomLogic.com,Miami,FL,showroomlogic,4,1,1,26,Advertising & Marketing,90,4,13443409,157259,Miami,5,1,,
